FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE
Annual,MUS,Mauritius,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.41219512
Annual,MEX,Mexico,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.069
Annual,FSM,"Micronesia, Fed. Sts.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.198
Annual,MDA,Moldova,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.198
Annual,MCO,Monaco,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,86.372
Annual,MNG,Mongolia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.12243902
Annual,MNE,Montenegro,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.58780488
Annual,MAR,Morocco,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.313
Annual,MOZ,Mozambique,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.611
Annual,MMR,Myanmar,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.889
Annual,NAM,Namibia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.385
Annual,NRU,Nauru,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.109
Annual,NPL,Nepal,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,70.354
Annual,NLD,Netherlands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.91463415
Annual,NCL,New Caledonia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.766
Annual,NZL,New Zealand,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.00487805
Annual,NIC,Nicaragua,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.947
Annual,NER,Niger,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.183
Annual,NGA,Nigeria,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,54.462
Annual,MKD,North Macedonia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.31609756
Annual,MNP,Northern Mariana Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.808
Annual,NOR,Norway,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.11219512
Annual,OMN,Oman,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.031
Annual,PAK,Pakistan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.649
Annual,PLW,Palau,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.269
